,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,W
ADJOE,1.0,-0.49117455664086235,0.7211255979946852,-0.3088063241202552,-0.5914261905858857,-0.1214936302067904,0.261225364400679,-0.24782280474238494,0.09504482738835075,-0.3063484396065687,0.6325472242259376,-0.30309466363326415,0.5594901672245577,-0.18802217906286006,0.046714638154924944,0.7325258735995205
ADJDE,-0.49117455664086235,1.0,-0.1945806565605931,0.7889596694439469,0.16933399962185103,-0.276782077860196,-0.28285969987630655,0.3299945019620124,-0.0742958329102169,0.17482417322327684,-0.23531353594002455,0.7121627371260262,-0.06503910990601969,0.5758468672507135,0.1949608519611192,-0.6539989477959148
EFG_O,0.7211255979946852,-0.1945806565605931,1.0,-0.1076921943130614,-0.36631210342596177,-0.15916353693159457,-0.13480803376025416,-0.3191918560864692,-0.06138504310252082,-0.3586981326454135,0.8897030542943151,-0.09168280735088781,0.7502800531321141,-0.09262013048464997,0.09364560100704047,0.593221445417138
EFG_D,-0.3088063241202552,0.7889596694439469,-0.1076921943130614,1.0,0.05173534096231855,-0.06490577333087026,-0.35335800859644145,0.15962309392967405,-0.1826235124487744,0.07036415290339447,-0.13446905823791425,0.9025705235042223,-0.03566194951679182,0.7202041255747619,0.22802873632507295,-0.5885392329280228
TOR,-0.5914261905858857,0.16933399962185103,-0.36631210342596177,0.05173534096231855,1.0,0.1539410531080905,0.17298562718914196,0.22297685639648457,0.16724547731916073,0.2840512074971795,-0.298109804817735,0.04588769539000378,-0.3114754462800108,0.040639097924117636,-0.06174722994556509,-0.43176836077077546
TORD,-0.1214936302067904,-0.276782077860196,-0.15916353693159457,-0.06490577333087026,0.1539410531080905,1.0,0.15666180830245083,0.2981144950193964,0.1129203799477057,0.35444638623725844,-0.09734970187288432,-0.019256179626289054,-0.17771433898787645,-0.11892997272838152,-0.02468697930882965,0.13795302719247984
ORB,0.261225364400679,-0.28285969987630655,-0.13480803376025416,-0.35335800859644145,0.17298562718914196,0.15666180830245083,1.0,0.09511221483072914,0.33523106334139313,0.20698408587292907,-0.10286946928303559,-0.369492718194129,-0.1047496131454724,-0.1706554419479595,-0.08106801508607869,0.3097324781453444
DRB,-0.24782280474238494,0.3299945019620124,-0.3191918560864692,0.15962309392967405,0.22297685639648457,0.2981144950193964,0.09511221483072914,1.0,0.18110830038561043,0.31046624185567445,-0.3239068387411846,0.15429862489580146,-0.17934731673477008,0.11328307766437143,0.05550886922930655,-0.3212450454901308
FTR,0.09504482738835075,-0.0742958329102169,-0.06138504310252082,-0.1826235124487744,0.16724547731916073,0.1129203799477057,0.33523106334139313,0.18110830038561043,1.0,0.3401339514660969,-0.06499112642577141,-0.21686719742138225,-0.012877082238837193,-0.03517376801455813,0.04511027540321805,0.1520173268151412
FTRD,-0.3063484396065687,0.17482417322327684,-0.3586981326454135,0.07036415290339447,0.2840512074971795,0.35444638623725844,0.20698408587292907,0.31046624185567445,0.3401339514660969,1.0,-0.3782584552309647,0.029280470578898384,-0.1801178177845848,0.1193306007570575,0.014166286342064327,-0.2551966098786513
2P_O,0.6325472242259376,-0.23531353594002455,0.8897030542943151,-0.13446905823791425,-0.298109804817735,-0.09734970187288432,-0.10286946928303559,-0.3239068387411846,-0.06499112642577141,-0.3782584552309647,1.0,-0.0982739301255106,0.3759555818121892,-0.14105567195937113,0.12807715609628015,0.5539800575447847
2P_D,-0.30309466363326415,0.7121627371260262,-0.09168280735088781,0.9025705235042223,0.04588769539000378,-0.019256179626289054,-0.369492718194129,0.15429862489580146,-0.21686719742138225,0.029280470578898384,-0.0982739301255106,1.0,-0.05741089901834083,0.3579863143234611,0.23264787650684082,-0.523785828080403
3P_O,0.5594901672245577,-0.06503910990601969,0.7502800531321141,-0.03566194951679182,-0.3114754462800108,-0.17771433898787645,-0.1047496131454724,-0.17934731673477008,-0.012877082238837193,-0.1801178177845848,0.3759555818121892,-0.05741089901834083,1.0,0.012789155280185436,0.007724493522109465,0.4174346619999185
3P_D,-0.18802217906286006,0.5758468672507135,-0.09262013048464997,0.7202041255747619,0.040639097924117636,-0.11892997272838152,-0.1706554419479595,0.11328307766437143,-0.03517376801455813,0.1193306007570575,-0.14105567195937113,0.3579863143234611,0.012789155280185436,1.0,0.11967279682626038,-0.4430924996190585
ADJ_T,0.046714638154924944,0.1949608519611192,0.09364560100704047,0.22802873632507295,-0.06174722994556509,-0.02468697930882965,-0.08106801508607869,0.05550886922930655,0.04511027540321805,0.014166286342064327,0.12807715609628015,0.23264787650684082,0.007724493522109465,0.11967279682626038,1.0,-0.033037827595069534
W,0.7325258735995205,-0.6539989477959148,0.593221445417138,-0.5885392329280228,-0.43176836077077546,0.13795302719247984,0.3097324781453444,-0.3212450454901308,0.1520173268151412,-0.2551966098786513,0.5539800575447847,-0.523785828080403,0.4174346619999185,-0.4430924996190585,-0.033037827595069534,1.0
