team,season,actual_wins,predicted_wins,error
Texas Tech,2023,16,21.02815089489267,5.0281508948926685
New Mexico St.,2023,9,13.784239205669147,4.784239205669147
Stanford,2023,14,18.590628759852272,4.590628759852272
Wyoming,2023,9,13.338869309706544,4.338869309706544
Ohio St.,2023,16,20.158416325956694,4.1584163259566935
Harvard,2023,14,17.71910510597346,3.7191051059734583
Pepperdine,2023,9,12.498470564259843,3.4984705642598435
Tennessee,2023,25,28.455313210612957,3.4553132106129567
Rutgers,2023,19,22.355496621389257,3.355496621389257
Mississippi,2023,12,15.255333673085541,3.2553336730855413
San Diego St.,2023,32,22.830294961878103,-9.169705038121897
North Texas,2023,31,22.19688280806192,-8.803117191938082
Florida Atlantic,2023,35,26.419581911097193,-8.580418088902807
Morehead St.,2023,22,14.514514218257267,-7.485485781742733
UNC Asheville,2023,27,19.823063520087327,-7.176936479912673
Utah Valley,2023,28,21.307246132927496,-6.692753867072504
Kennesaw St.,2023,26,19.53138222929868,-6.4686177707013215
UNC Wilmington,2023,24,17.698830166693295,-6.301169833306705
Southern Utah,2023,24,17.855401932448537,-6.144598067551463
Fordham,2023,25,18.970305401623047,-6.0296945983769525
